Issue Type,Summary,Priority
Suggestion,Official support for tcServer from Springsource,
Suggestion,List of suggested JQL improvements ,
Suggestion,Searching for an issue key that doesn't exist with JQL should not cause a query/validation error. ,
Suggestion,why does ofbiz complain about tables not being in the entitymodel?,
Suggestion,Add a confirmation dialog display on the Click of Cancel Button when editing field on existing issue,
Suggestion,"Support middle-click of the ""Create issue"" button in the header bar (Google Chrome)",
Suggestion,REST improvement:  List API versions,
Suggestion,Multi-Jira Dashboards,
Suggestion,(Allow) Suppress notifications for non-login users,
Sub-task,JQL editor cannot handle complex requests,
Suggestion,JIRA locke page needs styling,
Suggestion,Be able to navigate through components like we can do with versions (cf pictures attached),
Suggestion,"Label ""Due"" in project view / version summary is missleading (just unresolved issues are listed)",
Suggestion,Shared filters are visible to anonymous users when shared with 'Everyone',
Suggestion,Support Request should allow Issue Type Selection,
Suggestion,Provide a redundant hostname/IP for failover in LDAP,
Suggestion,XML download of issue list produces invalid XML,
Bug,Searching - it is not possible to use combination of umlaut and wildcard character,Low
Suggestion,Enable copy on clone links for SubTasks to its originator across cloned parent issues,
Bug,Cannot search by user name if the user was removed from Crowd,Low
Suggestion,Jira filter based filter broken on renaming,
Suggestion,Notification emails should contain headers indicating the notification details to support automated filtering,
Suggestion,"when you can provide project context to unreleasedVersions and releasedVersions, you should provide it.",
Suggestion,JIRA should have confirmation screen before upgrading the database to a newer build,
Suggestion,Ability for JIRA to understand version hierarchies,
Suggestion,Add modifyUser() method to JiraSoapService,
Suggestion,"Users must negotiate two ""leaving page"" confirmations under Safari 5",
Suggestion,For JIRA's setup/restore wizard for fresh instances or upgrades: have option to add MySQL engine parameters for the initial creation of tables.,
Bug,"emails are not sent, if GNU mail.jar is on CLASS_PATH",Low
Suggestion,Add WORKLOG-ISSUE view entity to the JIRA entity model,
Suggestion,EAP Feedback - Search change history,
Suggestion,RSS feeds do not respect Base URL configuration,
Suggestion,Could JIRA support the confluence tabbed deck macro,
Suggestion,Is it possible to insert generic text in the Description field via a button.,
Suggestion,I want to know what is work ratio in JIRA,
Bug,Sandbox main page doesn't load properly under slow network speeds,Low
Suggestion,JIRA should support  Opera,
Suggestion,Ability to get the last duration for job thrugh XML,
Bug,Inconsistent use of Jira vs JIRA in messages,Low
Suggestion,How to configure high availability application for JIRA,
Suggestion,Add exports to DefaultPackageScannerConfiguration,
Bug,Line breaks in workflow XML result in transition crashes,Low
Bug,Typo in message about expired session,Low
Bug,Creating a default value for a custom field asks for more than one value,Low
Suggestion,Creating a custom field refers to Context instead of Project,
Bug,Create Issue screen not updating resolution field when the outgoing transition is Resolved (or Closed),Medium
Suggestion,Time Since Chart adds 'created DESC' even if it's already in the filter,
Suggestion,Make AJS.IssuePicker avaliable for JIRA-Gadgets,
Suggestion,Long custom field name overlap in JIRA 4.2,
Suggestion,Make roadmap gadget render data even if no release dates,
Suggestion,Make JIRA gadgets wallboard capable,
Suggestion,"Enable users to set their own date, time, and datetime formats",
Suggestion,Search for Labels using wildcards,
Suggestion,Lotus Domino returns inline images with invalid encoding in IMAP messages,
Suggestion,Not equals operator (!=) excludes results with empty values in JQL,
Bug,Multiple-line issue summary created in GreenHopper breaks email notifications,Medium
Bug,JQL parser should handle reserved characters better and more consistently.,Medium
Suggestion,Implement a permission check framework for depending permissions ,
Suggestion,Allow multi-select and multi-checkboxes custom field types to use auto-complete renderer,
Suggestion,"Comment Author field should be included in Text Search when ""Comments"" is checked",
Suggestion,Want to suspend e-mail notification for comments imported by a Service,
Support Request,Bulk Download,
Bug,Search for a label containing double hyphen generates bad XML in RSS view,Medium
Suggestion,Create indexes on startup if they are missing,
Bug,  Issue Types Missing from the Default Issue Type Scheme ,Low
Suggestion,Need support for LIKE operator in JQL,
Suggestion,Autocomplete Assignees,
Suggestion,"When the security scheme of a project, permission violation is thrown without warning to users.",
Suggestion,Announcement Banner: Preview option missing,
Suggestion,Reduce number of emails sent for JIRA comments,
Suggestion,Improve handling of custom field description updates,
Suggestion,Expose manager necessary for custom field creation,
Suggestion,Make JIRA Imports Faster,
Suggestion,JIRA Crowd integration users existing only inside JIRA database,
Suggestion,Improved Sub-Task section within the issue view,
Suggestion,"remove sub-tasks as a unique issue type -- sub-tasks should represent a relationship, not an issue type",
Suggestion,"Enable Searching by domain of email address, either specifically by domain, or by allowing ~ operator w/reporter field",
Suggestion,Resize comment window option,
Suggestion,Users should be able to edit their own comments by default,
Suggestion,Keyboard shortcut combination with modifier keys is not disabled when keyboard shortcuts is disabled,
Suggestion,JIRA should detect issue URLs when pasting them in the issues field when I am trying to link an issue,
Suggestion,Labels Dialog and Frother Control - New Label menu command needs updating,
Suggestion,Jira Home Locked Page should be aui-fied and is in need of visual refresh,
Suggestion,[consistency] Comment visibility uses different naming convention for issue/comments and for transitions,
Bug,Hardcoded English text in custom fields code,Low
Suggestion,View images using consistent and existing behaviour,
Bug,Each failed login attempt via basic auth increases the failed login count by 2,Low
Bug,DefaultTemplateManager has multi-threaded correctness problems,Low
Suggestion,ugly drop assignee drop down on create and edit issue ,
Suggestion,Dialog Update - tweak layout and content in Log Work dialog,
Suggestion,Remove all microcopy (eg. Use this picker for relative dates),
Bug,DefaultJqlClauseBuilder passess null for non-null parameter,Low
Suggestion,Someday it would be cool if the labels field in the issue nav filter control was autosuggest,
Suggestion,Clicking somewhere else on the screen when dot dialog is up should close the dialog,
Bug,DefaultCustomFieldManager has multi-threaded correctness problems,Low
Suggestion,View Issue Labels & Fields,
Bug,NextPreviousPager has multi-threaded correctness problems,Low
Suggestion,oath page uses old or wierd page template,
Suggestion,Focus / Select fuzziness,
Bug,WebWorkAdaptor has possible null pointer dereference,Low
Bug,AbstractBulkOperationAction has possible null pointer dereference,Low
Bug,JQL auto-complete for custom field with the name & not working in IE 8,Low
Suggestion,Filter by fix version release date,
Suggestion,Modz detector should be improved to prevent 'false positive' due to customisation of the hash file,
Bug,Better handling on corrupted project role,Low
